******************************
**** Vocabulaire DUOLINGO ****
******************************

**********************
*** Les sentiments ***
**********************

Je suis désolé		Lo siento
Tu vas surmonter ceci 					Vas a superar esto 
Je dois le sentir						Lo tengo que sentir 
Ceci va se résoudre						Eso va a resolver 
Lui il tente d'améliorer son anglais	El trata de mejorar su ingles 
Je dois me présenter demain 			Me tengo que presentar manana 
Ne pas toucher							No tocar 
Je vais leur obtenir un nouvel avocat	Le voy a conseguir un nuevo abogado 
J'ai beaucoup trop à faire				Tengo demasiado que hacer 
La réalité est complètement différente	La realidad es completamente diferente 
La scène 								El escenario
Il est temps pour la paix				Es tiempo de paz 
Le vin fait effet						El vino hace efecto 
Elle elle est en danger					Ella esta en peligro 
L'origine								El origen 
La croissance							El crecimiento 
La conscience							La conciencia 
Ce ne sont mes affaires					No es asunto mio 
Ce sont mes créations					Son mis creaciones 
Lui il a un beau regard					El tiene una mirada bonita 
Il fait beau aujourd'hui				Hace buen tiempo hoy 
Lui il est en danger					El esta en peligro 
Ton pays d'origine est l'Allemagne		Tu pais de origen es alemania 
Il est l'heure d'aller à l'école 		Es la la hora de ir al colegio
Mes parents viennent d'arriver à la station	 Mis padres acaban de llegar a la estacion 
Je ne peux pas laisser passer ceci 		Esto no lo puedo dejar pasar
Je dois me réveiller à 6 heures			Me tengo que despertar a la seis 
Tu veux partir ?						Quieres irte ? 
Tu ne vas jamais réussir ceci 			Nunca vas a lograr esto 
Moi je peux t'attendre 					Yo te puedo esperar 
Il ne faut pas qu'il entre dans ma chambre	No tiene que entrar en mi habitacion 
Il faut qu'il entre dans un café		Tiene que entrar en un café 
Eux ils vont se souvenir de moi 		Ellos me van a recordar 
Nous devons établir les règles			Tenemos que establecer las reglas 
Nous le lui payons						Se lo pagamaos 
Malgré elle, elle aime ce garçon 		A pesar de ella, ella quiere a ese chico 
Nous pouvons y parvenir ensemble		Lo podemos lograr juntos 
Je vais essayer d'être moi-même			Voy a tratar de ser yo misma 
Celà fait de la poussière				Eso leventa polvo 
Je vois les deux hommes					Veo a ambos hombres  		 		 
Lesquels ?								Cuales de todos ?
Il aime les travaux dans le jardin		Le gustan los trabajos en el jardin 
Lui il soigne ma soeur					El cura a mi hernamana 
Ce n'est pas ce que je veux 			No es lo que quiero
Moi je n'aime pas les gens				A mi no me gusta la gente 
Je ne sais rien							No sé nada 
Personne n'est venu 					Nadié vino  
Peux-tu entendre cette cloche ?			Puedes oir esa campana ? 
Soudain il s'est mis à pleuvoir			De pronto se puso a llover 
Pouvez-vous parler plus lentement s'il vous plait	puedes hablar mas despacio por favor 
Il y a quelques années					Hace unos cuantos anos 
Viens ici immédiatemment				Vien aqui imediatamente 
Je viens d'arriver ici il y a 2 jours	Acabo de llegar aqui hace dos dias 
Elle pense quitter son mari 			Ella piensa dejar a su marido 
J'ai commencé à vivre seul				Empecé a vivir solo 
Elle elle peut mettre la table			Ella puede poner la mesa 
Moi je peux t'attendre					Yo te puedo esperar 
Elles elles peuvent comprendre ce livre là	Ellas pueden entender ese libro 
Très loin 								Muy lejos 
C'est spécialement pour vous			Es specialmente para usted 
Nous devons y arriver 					Lo podemos que lograr 
Je crois que lui va se rappeler celà	Creo que el va a recordar eso 
Ceci va se résoudre						Esto va a resolver 
Maintenant je vais te présenter à mes parents	Ahora va a presentarte a mis padres 
Je vais te présenter à ma copine		Te voy a presentar a mi novia 
Il est mieux d'éviter cette zone là et mieux d'aller dans celle-ci	Es mejor evitar esa zona y mas vale ir a esta 
Moi je ne vais m'en aller aujourd'hui	Yo no me voy a ir hoy 
Je vais me rappeler mon père			Voy a recordar a mi padre 
Le processus							El proceso 
La croissance							El crecimiento 
Pour de vrai ?							De verdad ? 
Ce sujet reste entre nous				Este asunto se queda entre nosotros

******************************************************
*** Parler à la voix passive, exprime des émotions ***
******************************************************

Le plat a été cuisiné par l'homme		El plato fue cocinado por el hombre 
Certaines de ces lettres-là ont été publiées	Algunas des esas cartas fueron publicadas 
Elle elle est très connue				Ella es muy conocida 
les hommes ont été blessés				Los hombres fueron heridos 
C'est fait par ordinateur				Es hecho por computadora 
Je suis tellement heureux				Estoy tan feliz 
je n'ai pas peur						No tengo miedo 
Elle, elle n'a peur de rien				Ella no tiene miedo de nada 
As tu faim ? 							Tienes hambre ? 
Elle elle est triste					Ella esta triste 
Je suis nerveux							Estoy nervioso 
Tu es retenu							Estas detenido 
Elle est déjà payée 					Ya esta pagada 
Moi j'ai été suivi 						Yo fui seguido 
Le capitaine a été blessé				El capitan fue herido 
La voisine est assise					La vecina esta sentada 
Cette chambre m'est dédiée				Este cuarto esta dedicado a mi 
Lui il est assis dans le canapé			El esta sentado en el sofa 
C'est fait par des hommes				Es hecho por hombres 
Moi je connais l'individu qui est assis là-bas	Yo conozco al individuo que esta sentado alli 
Ce n'est même pas publié				Ni siquiera esta publicado 
Le déjeuner a été payé par mon ami		El almuerzo fue pagado por mi amigo 
Elle elle est à peine connue			Ella es apenas conicida 
L'absence								La ausencia 
Mais qu fait-elle au niveau professionel ? 	Pero que hace ella a nivel profesional 
Je connais son adresse					Conozco si direccion 
Les deux me plaisent					Me gustan ambos 
Ce menu est étrange						Este menu es extrano 
C'est un artiste célèbre				Es un artista famoso 
Le sourire								La sonrisa 
L'amitié								La amistad	 
L'amour 								El amor 
Elle m'a reçue avec un grand sourire	Ella me recibio con un gran sonrisa 
La joie									La alegria 
Le bonheur								La felicidad 
La soif 								La sed 
La douleur								El dolor 
La crainte								El temor 
La solitude								La soledad 
La surprise								La sorpresa 
L'espoir								Le esperanza 
Le désir 								El deseo 
La personnalité							La personalidad 
Le plaisir								El placer 
J'ai de l'humour						Tengo humor 
La curiosité							La curiosidad 
La célébration 							La celebracion 
Le sentiment 							El sentimiento 
La satisfaction							La satisfaccion 
J'ai peur de devoir partir maintenant	Tengo miedo de tener que partir ahora 
Celà me fait peur chaque fois que je le dis	Eso me da temor cada vez que lo digo 
Celle-ci est elle une crainte de tout artiste ? Es este un temor de todo artista ?
Jusqu'à récemment						Hasta recientemente 
Un drapeau								Un bandera 
Ces hommes sont des connaissances de mon père	estos hombres son conocidos de mi padre 
Ce livre leur est dédié 				Este libro va dedicado a ellos 
Bonne année								Feliz ano nuevo 
Lui il est de très mauvaise humeur		El esta de muy mal humor 
Elle elle a peur des chats				Ella les tiene miedo a los gatos 
Rendre une femme heureuse				Hacer feliz a una mujer 
Je suis fatigué de ce sourire			Estoy cansada de esa sonrisa 
la solitude est mauvaise				Le soledad es mala 
C'est toujours un plaisir				Siempre es un placer 
Une curiosité							Una curiosidad 
Bon anniversaire						Feliz compleanos 
As-tu soif ? 							Tienes sed  
Oui avec joie							Si con alegria 
J'ai une surprise pour toi 				Tengo una surpresa para ti 
Nous souhaitons tous le bonheur			Deseamos todos la felicidad 
Je peux rendre un soldat heureux		Puedo hacer feliz a un soldado 

**********************************************
*** Utilise le passé, raconte une histoire ***
**********************************************

Je n'ai pas mangé aujourd'hui 			No hé comido hoy 
Aujourd’hui je n'ai pas bu d'eau 		Hoy no hé bebido agua 
J'ai toujours bu de l'eau				Siempre hé bebido agua 
Je n'ai rien su de toi 					No hé sabido de ti 
Je n'ai jamais été en Europe 			Nunca hé estado en Europa 
J'ai vécu ici pendant trente ans		Hé vivido aqui por treinta anos 
Nous n'avons jamais été amis			Nunca hemos sido amigos 
Cette femme n'a jamais été mon institutrice	Esa mujer mujer nunca ha sido mi maestra 
ça a été une longue nuit				Ha sido una larga noche 
Qu'as tu fait ? 						Qué has hecho ?
Tu me les a dîtes						Me las has dicho 
Tu as tenté d'y aller					Tu has tratado de ir 
Moi j'ai appelé par téléphone			Yo hé llamado por telefono 
Ceci m'a beaucoup touché				Esto me ha tocado mucho 
Elle elle n'a pas voulu manger			Ella no ha querido comer 
J'ai raté mon train 					hé perdido mi tren 
Il n'est rien arrivé					No ha occurido nada 
Le pire est déjà passé					Lo peor ya ha pasado 
Il n'a pas plu en mars					No ha llovido en marzo 
C'est ce que j'ai préparé				Es lo que hé preparado 
Je n'ai connu personne					No hé conocido a nadie 
Je ne l'ai pas connu lui				Nunca lo he conocido a el 
Lui il n'a pas lu l'ouvrage				El no ha leido la obra 
Il n'est rien arrivé					No occurio nada 
Sont-elles nées ?						Han nacido ?
Elle elle ne t'a pas entendu			Ella no te ha oido 
Avez-vous terminé ? 					Ha terminado usted ? 
Je n'ai jamais marché jusque chez toi	Nunca hé caminado a tu casa 
Il a emmené les grands-parents au parc	El ha llevado a las abuelos al parque  
As tu déjà choisi ?						Ya has eligido ? 
L'as tu développé ? 					Lo has desarrolado ? 
Elle elle a réussi à manger				Ella ha logrado comer 
As-tu eu un lapin ? 					Has tenido un conejo ? 
Celà je l'ai prévu						Eso lo he previsto 
Eux ils ont mis leurs pantalons			Ellos se han puesto sus pantalones 
Ceci est arrivé à cause de toi 			Esto ha occurido por ti 
ma soeur ne t'a pas vu aujourd'hui		Mi hermana no te vio hoy 
Aujourd’hui je n'ai pas bu d'eau		Hoy no bebi agua 
Qu'as tu fait ? 						Qué hiciste ?
Tu est allé à Rome ? 					Fuiste a Roma ? 
Tu ne me l'a pas dit ? 					No me dijiste ? 
As-tu touché un éléphant ? 				has tocado / Tocaste un elefante ? 
Merci d'être venu						Gracias por haber venido 
Elle elle m'a obligé à parler 			Ella me ha obligado a hablar 
Ils ont fermé la porte à clef			Ellos han cerrado la puerta con llave	
Un sandwich 							Un emparedado	
Merci encore 							Gracias nuevamente ! 
Je n'écoute pas l'homme mais la femme	No escucho al hombre sino al a mujer 
De gauche à droite						De izquierda a a la derrecha 
Lui il avait mangé du pain 				El habia comido pan 
Elle elle n'avait jamais perdu			Ella nunca habia perdido 
Après elle était venue 					Despuès habia venido 
Le moment était arrivé					Habia llegado el momento 	
Tu étais arrivé après moi 				Habias llegado despuès de mi 
Je vais au lit 							Voy a a la cama 
Moi j'avais trouvé la direction			Yo habia encontrado la direccion 
Moi j'avais décidé de ne pas y aller	Yo habia decidido no ir 
Le train était déjà parti				El tren ya habia partido 
Elle elle n'avait rien gagnée			Ella no habia ganado nada 
Elle elle l'avait déjà supposé			Ella ya lo habia supuesto 
J'étais resté sans pain 				Me habia quedado sin pan 
Moi je n'avais jamais autant souffert	Yo jamas habia sufrido tanto 
Tu as dit que tu n'avais ressenti ceci pour personne	Dijiste que no habia sentido esto por nadie 
As-tu été à l'étranger ? 				Estuviste en el extranjero ?
Il semble qu'elle a été malade			Parece que ella ha estado enferma 
Je n'ai jamais été en Europe			Jamas he estado en Europa 
Je n'ai jamais fait celà				Nunca he hecho eso 
Mes parents sont enseignants			Mis padres son docentes 
Ses employés écrivent 					Sus empleados escriben 
Nous nous avons voulu boire ce vin là 	Nosotros quisimos beber ese vino 
Je n'ai connu personne					No he conocido a nadie 
Je crois avoir lu ça 					Creo haber leo eso 
Je suis ici parce que lui m'a envoyé	Estoy aqui porque me ha enviado el 
Eux ils nous ont donné de l'argent		Ellos nos han dado dinero 
Il semble avoir terminé son travail		Parece haber terminado su trabajo 
J'ai entendu qu'il est malade			He oidi que esta enfermo 
Tu as trop bu							Bebiste / Tomaste demasiado 
Le bébé est né 							El bebe nacio 
Sont-elles nées ? 						Nacieron ? Han nacido ? 
Arriver (quelque chose)					occurir 
Réussir									lograr 
Arriver (quelque part)					llegar 
Moi je n'ai pas commandé de repas		Yo no he pedido comida 
Tu en as produit quelques uns 			Has producido unos cuantos 
Moi j'ai choisi ceci 					Yo he eligido esto 
J'ai écrit trois lettres				Escribi tres cartas 
Vous avez emporté les photos chez vous	Usted ha llevado las fotos a su casa 
Vous ne tenez pas 						Usted no cabe 
La chambre comprend le lit 				La habitacion incluye la cama 
Qui est cette femme là ? 				Quien es aquella mujer ?
Cet animal marche 						Aquel animal camina 
Ils l'ont bien traitée					Ellos la trataron bien 
Moi je n'étais jamais arrivé en retard à l'école auparavant Yo nunca habia llegado tarde a la escuela antes 
Obtenir									Conseguir 
Trouver									encontrar 
Elle avait peut-être découvert quelque chose Quiza ella habia descubierto algo 
C'est la voisine que j'avais appelée	Es la vecina a quien habia llamado 
toi tu avais coupé le fromage			Tu habias patido el queso 
Quelqu'un avait ouvert la fenêtre 		Alguien habia abierto la ventana 
Nous en avions déjà parlé 				Ya habiamos hablado de eso 
Ils ont dit que tu étais partie 		Dijeron que tu habias partido 
Emmener / Emporter						llevar 
Arriver quelque part 					llegar 
Appeler									llamar 
Arriver quelque chose 					Occurir 
Moi j'ai eu de mauvais résultats cette année 	Yo tuve malos resultados este ano 
Je me suis décidé 						Mi decidi 
Il est midi 							Son las doce 
Moi je vais rententer jeudi				Yo voy a tratar de nuevo el jueves 
Le mois finit lundi 					el mes acaba el lunes 
Il va à l'école à 7 heures				El va a la escuela a las siete 
Les chiens courrent en avant 			Los perros corren hacia adelante 
Je porte un pantalon 					Llevo puesto un panatalon 
Aucune d'entre elles n'est vivante		Ninguna de ellas esta viva 
J'ai tout mon temps 					Tengo todo mi tiempo
Comprendre 								Entender 
Entendre								Oir 
Vous aviez vécu dans un hôtel			Usted habia vivido en un hotel 
Trouver / retrouver 					Encontrar 
Elles s'étaient déjà établies quand je suis arrivé	Ya se habian establicido cuando llegué 

***********************************************
*** Décris la nature, collabore à un projet ***
***********************************************

Le ciel est bleu 						El cielo es azul 
Les arbres sont verts 					Los arboles son verdes 
Eux ils voient la lunes					Ellos ven la luna 
Les champs sont jaunes 					Los campos son amarillos 
La pluie 								La lluvia 
Le volcan 								El volcan 
Le bois 								La madera 
La pierre								La piedra 
La chaleur 								El calor 
Une feuille 							Una hoja
L'espèce 								La especie 
Au feu ! 								Fuego ! 
Le soleil 								El sol 
La mer 									El mar 
Une fleur 								Una flor 
L'herbe 								La hierba	
La terre 								La tierra 
Le patûrage								El pasto 
La rivière 								El rio 
La lumière 								La luz 
L'arbre 								El arbol
Ce n'est pas une étoile mais une planète No es una estrella sino una planeta 
A-t-il une expérience professionnelle ? 	Tiene experiencia profesional ?
Je n'aime pas ces situations			No me gustan esas situaciones 
Quel est le sujet de ta présentation ? 	Cual es el tema de tu presentacion ?
Le résultat est les succès de tes efforts	El exito es el resultado de tus esfuerzos 
Ces gens-ci ont besoin de propositions	esta gente necesita propuestos 
Son influence est importante en France	Su influencia es importante en Francia 
Il fait chaud 							Hace calor 
Cette espèce est très rare 				Esta especie es muy escasa 
L'évolution								La evolucion
J'aime la nature 						Me gusta la naturaleza 
Une dent 								Un diente 
Une planète 							Una planeta 
Le gaz 									El gas 
Le paysage 								El paisaje 
L'univers 								El universo 
Je prends ma brosse à dents 			Tomo mi cepillo de dientes
Le cerveau								El cerebro 
Une montagne 							Una montana 
L'espace 								El espacio 
La forêt								El bosque 
Le sable 								La arena 
La racine 								La raiz	 
L'os 									El hueso 
Elles elles vont m'attendre 			Ellas van a esperarme 
Le mont 								El monte
Le chien a mangé l'os que je lui ai donné 	El perro comio el hueso que le di 
Le vent 								El viento 
La fumée								El humo 
L'ambiance 								El ambiente 
Le courant								La corriente 
Elle aime la chaleur de l'été 			A eela le gusta el calor del verano 
Le soleil est très loin de la terre 	El sol esta muy lejos de la tierra 
Il est naturellement gentil 			Es bueno por naturaleza 
Je prends ma brosse à dents 			Tomo mi cepillo de dientes 
Les os sont blancs						Los huesos son blancos 
Le courant 								La corriente 
Es-tu au courant ? 						Estas al corriente ? 
L'environnement 						El medio ambiente 
J'aime l'ambiance de l'endroit 			Me gusta el ambiente del lugar
C'est l'arbre qui cache la forêt		Es el arbol que no deja ver el bosque 
As-tu soif ? 							Tienes sed ?
Un grand moment de bonheur 				Un gran momento de felicidad 
Il est l'heure de rentrer chez soi 		Es hora de volver a casa 
Ceux sont les vêtements auxquels je pense	Son los vestidos en los que pienso 
Le geste 								El gesto 
L'unité 								La unidad 
La beauté								La bezella 
C'est aussi une beauté 					Tambien es una belleza 
La cérémonie fut simple 				La ceremonia fue sencilla 
C'est un monsieur de grande influence 	Es un senor de mucha influencia 
La perte 								La perdida 
La conséquence 							La consecuencia 
    						
						








	 

